superclass,subclass
http://dpp.taltech.ee/EUDPP#CircularEconomyIndicators,http://dpp.taltech.ee/EUDPP#RecoverableRate
http://dpp.taltech.ee/EUDPP#CircularEconomyIndicators,http://dpp.taltech.ee/EUDPP#RecyclingCollectionRate
http://dpp.taltech.ee/EUDPP#CircularEconomyIndicators,http://dpp.taltech.ee/EUDPP#RecyclingRate
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#Disassembly
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#Disposal
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#EndOfLife
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#Installation
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#Maintenance
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#Recycling
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#Refurbishment
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#Repair
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#Reuse
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#SafeUse
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://dpp.taltech.ee/EUDPP#TechnicalSpecification
http://dpp.taltech.ee/EUDPP#Dimension,http://dpp.taltech.ee/EUDPP#Height
http://dpp.taltech.ee/EUDPP#Dimension,http://dpp.taltech.ee/EUDPP#Length
http://dpp.taltech.ee/EUDPP#Dimension,http://dpp.taltech.ee/EUDPP#Volume
http://dpp.taltech.ee/EUDPP#Dimension,http://dpp.taltech.ee/EUDPP#Weight
http://dpp.taltech.ee/EUDPP#Dimension,http://dpp.taltech.ee/EUDPP#Width
http://dpp.taltech.ee/EUDPP#EnvironmentalEmission,http://dpp.taltech.ee/EUDPP#EmissionToAir
http://dpp.taltech.ee/EUDPP#EnvironmentalEmission,http://dpp.taltech.ee/EUDPP#EmissionToSoil
http://dpp.taltech.ee/EUDPP#EnvironmentalEmission,http://dpp.taltech.ee/EUDPP#EmissionToWater
http://dpp.taltech.ee/EUDPP#EnvironmentalFootprint,http://dpp.taltech.ee/EUDPP#CarbonFootprint
http://dpp.taltech.ee/EUDPP#EnvironmentalFootprint,http://dpp.taltech.ee/EUDPP#MaterialFootprint
http://dpp.taltech.ee/EUDPP#EnvironmentalPollution,http://dpp.taltech.ee/EUDPP#EmissionToAir
http://dpp.taltech.ee/EUDPP#EnvironmentalPollution,http://dpp.taltech.ee/EUDPP#EmissionToSoil
http://dpp.taltech.ee/EUDPP#EnvironmentalPollution,http://dpp.taltech.ee/EUDPP#EmissionToWater
http://dpp.taltech.ee/EUDPP#EnvironmentalPollution,http://dpp.taltech.ee/EUDPP#EnvironmentalEmission
http://dpp.taltech.ee/EUDPP#EnvironmentalPollution,http://dpp.taltech.ee/EUDPP#MicroplasticRelease
http://dpp.taltech.ee/EUDPP#EnvironmentalPollution,http://dpp.taltech.ee/EUDPP#NanoplasticRelease
http://dpp.taltech.ee/EUDPP#EnvironmentalPollution,http://dpp.taltech.ee/EUDPP#PlasticsRelease
http://dpp.taltech.ee/EUDPP#PlasticsRelease,http://dpp.taltech.ee/EUDPP#MicroplasticRelease
http://dpp.taltech.ee/EUDPP#PlasticsRelease,http://dpp.taltech.ee/EUDPP#NanoplasticRelease
http://dpp.taltech.ee/EUDPP#QualityIndicators,http://dpp.taltech.ee/EUDPP#Durability
http://dpp.taltech.ee/EUDPP#QualityIndicators,http://dpp.taltech.ee/EUDPP#Reliability
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#CarbonFootprint
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#CircularEconomyIndicators
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#Concentration
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#Dimension
