class,annotationProperty,annotationValue
http://dpp.taltech.ee/EUDPP#CarbonFootprint,http://www.w3.org/2000/01/rdf-schema#comment,"Carbon footprint
means the sum of greenhouse gas emissions and greenhouse gas remo
vals in a product system,
expressed as CO equivalents and based on a life cycle assessment using the single impact category
of climate change. (ESPR Art 2 25))"
http://dpp.taltech.ee/EUDPP#CircularEconomyIndicators,http://www.w3.org/2000/01/rdf-schema#comment,"Circular Economy indicators are measures for relevant monitoring the transition to a circular economy and to measure the effects of new policy and trends.

See also https://environment.ec.europa.eu/strategy/circular-economy-action-plan_en"
http://dpp.taltech.ee/EUDPP#ClassificationCode,http://www.w3.org/2000/01/rdf-schema#comment,A classification code from some product classification scheme .
http://dpp.taltech.ee/EUDPP#Concentration,http://www.w3.org/2000/01/rdf-schema#comment,"Concentration of the substance of concern
the concentration of the substances of concern, at the level of the product, its relevant components,
or spare parts ESPR Art 7(5)"
http://dpp.taltech.ee/EUDPP#DPPEstablismentLevel,http://www.w3.org/2000/01/rdf-schema#comment,"The product passport should be defined at the level of item, batch or product model, depending on specific needs and complexity of the value chain, the size, nature or impacts of the products considered. (Standardisation Request 5423 7)"
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://www.w3.org/2000/01/rdf-schema#comment,"Digital instructions
mean instructions in digital format concerning the product (‘digital instructions’) in a language that
can be easily understood. ESPR Art 27(7)
Digital instructions are ensured by manufacturers. These should a
lso ensured by importers. (ESPR
Art 29(4))"
http://dpp.taltech.ee/EUDPP#DigitalInstruction,http://www.w3.org/2000/01/rdf-schema#label,DigitalInstruction
http://dpp.taltech.ee/EUDPP#Dimension,http://www.w3.org/2000/01/rdf-schema#comment,"Dimension class covers in addtion to 
 3-part measurement, length x width x height, of an item or its package also their Volume and Weight.

ESPR Annex I requires in its product parameters list 
weight and volume of the product and its packaging."
http://dpp.taltech.ee/EUDPP#Disassembly,http://www.w3.org/2000/01/rdf-schema#comment,Disassembly instructions of the product.
http://dpp.taltech.ee/EUDPP#Disposal,http://www.w3.org/2000/01/rdf-schema#comment,Disposal instructions of the product.
http://dpp.taltech.ee/EUDPP#Durability,http://www.w3.org/2000/01/rdf-schema#comment,"Durability
means the ability
of a product to maintain over time its function and performance under specified
conditions of use, maintenance and repair. (ESPR Art 2 (22))"
